2021-09-14 15:15:36.647 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:15:36.647 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62594--超时时间--读写空闲
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62593--超时时间--读写空闲
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:15:46.651 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:15:51.667 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:15:51.667 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:15:51.667 [pool-2-thread-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:16:01.670 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62600--超时时间--读写空闲
2021-09-14 15:16:01.670 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:01.670 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:16:01.686 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62601--超时时间--读写空闲
2021-09-14 15:16:01.686 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:01.686 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:16:06.672 [pool-2-thread-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:16:06.672 [pool-2-thread-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:16:06.719 [pool-2-thread-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:16:16.691 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62603--超时时间--读写空闲
2021-09-14 15:16:16.691 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:16.691 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:16:16.738 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62604--超时时间--读写空闲
2021-09-14 15:16:16.738 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:16.738 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:16:21.692 [pool-2-thread-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:16:21.692 [pool-2-thread-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:16:21.739 [pool-2-thread-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:16:29.313 [nioEventLoopGroup-3-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:29.313 [nioEventLoopGroup-3-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:16:29.313 [nioEventLoopGroup-3-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:16:29.313 [nioEventLoopGroup-3-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:28:51.985 [pool-2-thread-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:28:51.985 [pool-2-thread-12] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:28:51.986 [pool-2-thread-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-12] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:54881--超时时间--读写空闲
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:54880--超时时间--读写空闲
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-12] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-12] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:29:02.008 [nioEventLoopGroup-3-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:29:07.025 [pool-2-thread-13] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:29:07.025 [pool-2-thread-13] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:29:07.025 [pool-2-thread-14] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:29:15.798 [nioEventLoopGroup-3-13] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:29:15.798 [nioEventLoopGroup-3-14] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:29:15.798 [nioEventLoopGroup-3-14] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:29:15.798 [nioEventLoopGroup-3-13] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:30:10.899 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Starting VxdeskserverApplication using Java 1.8.0_271 on qytdesk with PID 7328 (C:\Users\zxl\Desktop\QdServer\target\classes started by zxl in C:\Users\zxl\Desktop\QdServer)
2021-09-14 15:30:10.899 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - The following profiles are active: dev
2021-09-14 15:30:11.843 [main] INFO  c.j.remote.qty.dispatcher.MessageHandlerContainer - [afterPropertiesSet][消息处理器数量：1]
2021-09-14 15:30:12.249 [main] INFO  com.javacgo.remote.qty.server.NettyServer - [start][Netty Server 启动在 443 端口]
2021-09-14 15:30:12.374 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Started VxdeskserverApplication in 2.367 seconds (JVM running for 3.71)
